id,qr_code_uid,qr_code_name
G000560-capitol,2017/03/18/230uvw1aru_G000560_capitol.png,G000560-capitol.png
G000553-capitol,2017/03/18/4xbp9ehsbe_G000553_capitol.png,G000553-capitol.png
G000551-capitol,2017/03/18/2c9pzoqiv2_G000551_capitol.png,G000551-capitol.png
G000568-capitol,2017/03/18/2hksktib8x_G000568_capitol.png,G000568-capitol.png
G000558-capitol,2017/03/18/2k4gw7dorf_G000558_capitol.png,G000558-capitol.png
H001052-capitol,2017/03/18/9m9y9xsvd6_H001052_capitol.png,H001052-capitol.png
H001056-capitol,2017/03/18/4bkp24v59t_H001056_capitol.png,H001056-capitol.png
F000449-capitol,2017/03/18/8qzssi6vx0_F000449_capitol.png,F000449-capitol.png
H001038-capitol,2017/03/18/98kxxkh831_H001038_capitol.png,H001038-capitol.png
D000607-capitol,2017/03/18/8eox6s48px_D000607_capitol.png,D000607-capitol.png
D000482-capitol,2017/03/18/8s53fooc4t_D000482_capitol.png,D000482-capitol.png
W000805-capitol,2017/03/18/896nn9aeu3_W000805_capitol.png,W000805-capitol.png
D000610-capitol,2017/03/18/6jp2dyjsn_D000610_capitol.png,D000610-capitol.png
I000056-capitol,2017/03/18/7cwoab6rr2_I000056_capitol.png,I000056-capitol.png
J000032-capitol,2017/03/18/1rwvhpl6pm_J000032_capitol.png,J000032-capitol.png
J000290-capitol,2017/03/18/92mq1htn0b_J000290_capitol.png,J000290-capitol.png
J000126-capitol,2017/03/18/63321x5v2r_J000126_capitol.png,J000126-capitol.png
J000288-capitol,2017/03/18/304tktcdoh_J000288_capitol.png,J000288-capitol.png
J000293-capitol,2017/03/18/7uvz7kfmqi_J000293_capitol.png,J000293-capitol.png
J000255-capitol,2017/03/18/12vafhgrpb_J000255_capitol.png,J000255-capitol.png
J000289-capitol,2017/03/18/apd9f4rqp_J000289_capitol.png,J000289-capitol.png
K000188-capitol,2017/03/18/2810bq82c8_K000188_capitol.png,K000188-capitol.png
K000210-capitol,2017/03/18/5gbj358vpe_K000210_capitol.png,K000210-capitol.png
K000378-capitol,2017/03/18/1dgv336fv6_K000378_capitol.png,K000378-capitol.png
L000564-capitol,2017/03/18/9r6h8v5i7e_L000564_capitol.png,L000564-capitol.png
L000567-capitol,2017/03/18/7o27kka4q2_L000567_capitol.png,L000567-capitol.png
L000575-capitol,2017/03/18/7a4uu07yt7_L000575_capitol.png,L000575-capitol.png
